Type	Range	Category
Type1	14	Blue
Type2	61	Blue
Type3	59	Red
Type2	93	Red
Type1	96	Red
Type4	68	Blue
Type2	26	Red
Type2	98	Blue
Type2	58	Blue
Type1	37	Blue
Type1	33	Blue
Type4	82	Blue
Type2	59	Blue
Type1	92	Blue
Type2	97	Red
Type4	16	Blue
Type4	37	Blue
Type2	72	Blue
Type2	13	Blue
Type3	30	Blue
Type2	20	Blue
Type1	47	Blue
Type1	22	Blue
Type4	40	Red
Type2	48	Red
Type1	20	Red
Type2	94	Red
Type4	86	Blue
Type4	53	Blue
Type1	44	Red
Type2	36	Blue
Type4	99	Red
Type3	24	Red
Type3	19	Blue
Type3	58	Blue
Type4	59	Red
Type2	87	Red
Type4	71	Red
Type1	21	Red
Type1	22	Blue
Type2	39	Red
Type3	85	Blue
Type3	85	Red
Type3	89	Red
Type3	32	Blue
Type1	46	Red
Type1	73	Red
Type2	65	Blue
Type4	33	Red
Type1	40	Red
Type4	98	Blue
Type1	74	Red
Type4	97	Red
Type1	56	Red
Type2	97	Blue
Type2	66	Blue
Type1	42	Red
Type4	99	Blue
Type3	63	Red
Type2	75	Blue
Type1	78	Blue
Type3	20	Blue
Type2	14	Blue
Type3	71	Blue
Type1	46	Red
Type3	75	Red
Type1	14	Blue
Type2	85	Blue
Type3	86	Blue
Type1	85	Blue
Type2	85	Red
Type4	62	Blue
Type4	37	Blue
Type4	64	Red
Type4	37	Red
Type1	48	Blue
Type2	77	Red
Type1	17	Red
Type3	93	Blue
Type4	12	Blue
Type2	26	Red
Type4	38	Blue
Type3	91	Blue
Type3	31	Blue
Type2	15	Red
Type4	20	Red
Type3	42	Red
Type1	96	Blue
Type1	34	Blue
Type3	18	Blue
Type2	65	Red
Type4	93	Blue
Type3	52	Blue
Type1	81	Blue
Type2	23	Red
Type3	20	Blue
Type1	87	Blue
Type2	51	Red
Type1	32	Red
Type2	50	Blue
Type2	83	Red
Type3	35	Blue
Type3	93	Blue
Type3	71	Red
Type3	16	Red
Type2	65	Blue
Type1	18	Red
Type2	35	Blue
Type2	17	Red
Type3	49	Red
Type1	79	Blue
Type4	41	Blue
Type2	50	Red
Type4	60	Red
Type1	19	Blue
Type2	40	Red
Type1	75	Red
Type3	87	Blue
Type1	77	Red
Type1	75	Red
Type4	96	Blue
Type2	39	Red
Type4	50	Red
Type2	56	Red
Type1	15	Red
Type3	51	Blue
Type3	40	Red
Type4	26	Blue
Type4	18	Red
Type4	47	Blue
Type1	52	Blue
Type1	32	Red
Type4	97	Blue
Type1	99	Blue
Type2	50	Blue
Type4	49	Red
Type4	99	Blue
Type4	17	Blue
Type2	96	Red
Type2	85	Blue
Type1	83	Blue
Type2	85	Blue
Type3	47	Blue
Type3	70	Red
Type3	18	Red
Type3	23	Blue
Type4	77	Blue
Type3	67	Blue
Type1	40	Red
Type4	83	Red
Type2	95	Blue
Type1	73	Blue
Type3	18	Red
Type4	12	Blue
Type1	89	Red
Type2	49	Red
Type1	18	Blue
Type1	23	Blue
Type1	92	Blue
Type1	10	Red
Type4	75	Red
Type1	66	Blue
Type2	95	Red
Type4	33	Blue
Type3	16	Blue
Type3	99	Red
Type2	55	Blue
Type4	90	Blue
Type3	33	Red
Type2	28	Blue
Type1	16	Red
Type3	32	Blue
Type3	85	Red
Type2	64	Blue
Type4	63	Red
Type2	47	Red
Type3	28	Red
Type4	47	Red
Type4	57	Red
Type3	54	Red
Type1	20	Blue
Type4	96	Blue
Type3	50	Red
Type1	17	Red
Type2	64	Red
Type3	39	Blue
Type2	78	Red
Type1	100	Blue
Type3	52	Red
Type4	70	Red
Type4	61	Red
Type2	84	Red
Type4	46	Red
Type1	60	Blue
Type2	23	Red
Type1	54	Red
Type1	45	Blue
Type3	38	Blue
Type1	40	Blue
Type2	18	Blue
Type1	90	Red
Type2	10	Blue
Type1	68	Blue
Type3	68	Blue
Type3	55	Blue
Type2	13	Blue
Type2	70	Red
Type3	100	Red
Type3	66	Red
Type3	98	Red
Type4	67	Blue
Type2	76	Blue
Type3	37	Blue
Type2	64	Red
Type4	13	Blue
Type3	93	Blue
Type2	62	Blue
Type1	27	Blue
Type1	72	Red
Type4	73	Red
Type4	41	Red
Type1	29	Red
Type2	26	Red
Type3	64	Blue
Type4	47	Blue
Type4	100	Blue
Type1	24	Red
Type2	26	Blue
Type4	59	Blue
Type1	13	Red
Type2	19	Red
Type2	24	Red
Type3	59	Red
Type4	83	Blue
Type1	56	Red
Type3	28	Blue
Type2	57	Red
Type2	51	Blue
Type2	23	Red
Type4	17	Blue
Type3	43	Blue
Type2	24	Red
Type3	22	Blue
Type3	51	Red
Type4	46	Red
Type1	56	Red
Type1	62	Blue
Type1	29	Blue
Type1	16	Blue
Type3	64	Red
Type3	77	Blue
Type1	11	Red
Type1	17	Blue
Type3	45	Blue
Type3	36	Red
Type3	37	Blue
Type3	23	Red
Type3	63	Red
Type4	10	Blue
Type3	33	Red
Type2	57	Red
Type1	57	Red
Type2	67	Red
Type3	59	Blue
Type4	27	Blue
Type1	36	Red
Type2	33	Blue
Type1	75	Blue
Type2	42	Red
Type3	76	Red
Type1	85	Blue
Type3	71	Blue
Type1	59	Red
Type1	88	Red
Type1	15	Red
Type4	36	Blue
Type3	26	Red
Type1	29	Red
Type4	27	Blue
Type3	57	Blue
Type1	12	Blue
Type3	54	Red
Type1	61	Red
Type2	77	Red
Type2	76	Red
Type3	72	Blue
Type4	41	Blue
Type2	97	Blue
Type1	89	Blue
Type2	83	Blue
Type3	80	Blue
Type1	47	Red
Type2	71	Blue
Type1	36	Blue
Type4	14	Blue
Type4	77	Red
Type3	32	Blue
Type3	78	Blue
Type1	39	Red
Type1	73	Blue
Type4	29	Blue
Type2	61	Blue
Type4	45	Blue
Type2	12	Red
Type2	60	Red
Type2	25	Blue
Type3	56	Blue
Type4	39	Red
Type1	17	Red
Type4	34	Blue
Type3	51	Red
Type4	37	Red
Type3	48	Red
Type1	88	Blue
Type3	19	Red
Type3	31	Blue
Type2	23	Blue
Type1	89	Red
Type1	64	Red
Type3	53	Red
Type4	75	Blue
Type4	51	Red
Type1	67	Red
Type3	88	Red
Type2	59	Red
Type4	100	Red
Type2	37	Blue
Type4	46	Blue
Type3	64	Blue
Type2	40	Blue
Type2	49	Red
Type1	11	Red
Type2	96	Blue
Type4	79	Red
Type3	43	Red
Type4	24	Red
Type3	36	Blue
Type1	21	Red
Type1	75	Blue
Type3	60	Blue
Type3	85	Red
Type4	50	Red
Type2	30	Red
Type3	69	Blue
Type2	85	Red
Type3	73	Red
Type2	58	Red
Type3	33	Blue
Type3	12	Red
Type4	74	Blue
Type2	93	Red
Type2	63	Blue
Type3	69	Red
Type2	44	Blue
Type2	58	Red
Type2	36	Blue
Type1	44	Red
Type2	17	Red
Type1	37	Red
Type1	61	Red
Type3	46	Red
Type1	91	Blue
Type3	60	Blue
Type1	12	Red
Type1	57	Red
Type1	76	Blue
Type2	84	Red
Type4	22	Blue
Type4	16	Red
Type1	48	Red
Type4	73	Blue
Type4	83	Red
Type3	39	Red
Type4	28	Blue
Type4	89	Blue
Type1	82	Blue
Type2	27	Blue
Type4	42	Red
Type2	82	Blue
Type3	82	Red
Type3	98	Blue
Type4	54	Blue
Type3	82	Red
Type2	16	Blue
Type1	48	Blue
Type3	58	Red
Type3	71	Blue
Type3	82	Blue
Type1	17	Red
Type1	48	Red
Type4	93	Blue
Type3	34	Red
Type3	28	Red
Type2	92	Blue
