ID,UUID, LocationTitle,AddressLine1,AddressLine2,Town,StateOrProvince,Postcode,Country,Latitude,Longitude,Distance,DistanceUnit,Addr_ContactTelephone1,Addr_ContactTelephone2,Addr_ContactEmail,Addr_AccessComments,Addr_GeneralComments,Addr_RelatedURL,ConnectionType,ChargerType,UsageType,NumberOfPoints,GeneralComments,DateLastConfirmed,StatusType,DateLastStatusUpdate,DateCreated
133072,52789A87-F16A-4760-B45A-F644585599A7,Wrap Factory,10933 Kaw DR,,Edwardsville,Kansas,66111,United States,39.063122,-94.83369,,0,(913) 667-3010,,,,,,Tesla (Model S onwards);,,Public,1,"1 Tesla Connector, up to 10kW.Available to the public. Self park.",,Operational,10/12/2019 5:51,10/12/2019 5:51
133062,CB6AFC36-5EDD-422A-94F7-931A0AF06028,Ip Casino Resort & Spa,850 Bayview Ave,,Biloxi,Mississippi,39530,United States,30.413245,-88.892477,,0,(888) 946-2847,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 10kW.Available to the public. Self park.",,Operational,10/12/2019 5:49,10/12/2019 5:49
133065,E477A21F-845F-4E73-A261-F28F0C86BDB9,Holiday Inn & Suites Cedar Falls-Waterloo Event CTR,7400 Hudson RD,,Cedar Falls,Iowa,50613,United States,42.471338,-92.465887,,0,(319) 260-2600,,,,,,Tesla (Model S onwards);,,Public,4,"4 Tesla Connectors, up to 16kW.Available for customers. Self park.",,Operational,10/12/2019 5:49,10/12/2019 5:49
133055,CE0D0C51-CA3C-4186-A8A1-B2C57F495700,Groth Vineyards & Winery,750 Oakville Cross RD,,Oakville,California,94562,United States,38.448967,-122.379919,,0,(707) 944-0290,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 8kW.Available for customers. Self park.",,Operational,10/12/2019 5:48,10/12/2019 5:48
133056,9C969237-10FB-4FE1-B13F-CFEF440A52BC,Ozark Collaborative,219 E Locust St,,Rogers,Arkansas,72756,United States,36.338139,-94.113555,,0,(479) 633-7144,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 10kW.Available to the public. Self park.",,Operational,10/12/2019 5:48,10/12/2019 5:48
133059,C6341844-696E-4EA7-BA4F-269D7FAC4BC3,Sam's Pizza Pub,401 Burchwood Bay RD,,Hot Springs,Arkansas,71913,United States,34.44982,-93.099785,,0,(501) 525-0780,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 10kW.Available to the public. Self park.",,Operational,10/12/2019 5:48,10/12/2019 5:48
133049,55AB403B-619E-4B7C-AE15-B754B07AB122,Juana's Pagodas and Sailors' Grill,1451 Navarre Beach Cswy,,Navarre,Florida,32566,United States,30.383592,-86.862653,,0,(850) 939-1092,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 10kW.Available to the public. Self park.",,Operational,10/12/2019 5:47,10/12/2019 5:47
133050,0ECD3C91-A7A1-4748-AEE8-1A4D572C1F71,Icicle Village Resort,505 Hwy 2,,Leavenworth,Washington,98826,United States,47.589123,-120.672887,,0,(800) 961-0162,,,,,,Tesla (Model S onwards);,,Public,1,"1 Tesla Connector, up to 16kW.Available for customers. Please see front desk.",,Operational,10/12/2019 5:47,10/12/2019 5:47
133053,EA48787D-7908-44D3-9683-A7593F140462,Opus One,7900 St Helena Hwy,,Napa,California,94558,United States,38.441024,-122.39928,,0,(707) 944-9442,,,,,,Tesla (Model S onwards);,,Public,3,"3 Tesla Connectors, up to 12kW.Available for customers. Self park.",,Operational,10/12/2019 5:47,10/12/2019 5:47
133043,D51461B8-F10A-4590-9487-008EC98CBA60,James Place Inn,11 Holbrook St,,Freeport,Maine,4032,United States,43.85583,-70.107652,,0,(207) 865-4486,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 16kW.Available for customers. Please call ahead.",,Operational,10/12/2019 5:45,10/12/2019 5:45
133044,B3C86E05-078C-41B4-B5F1-92FBEF8D6F5B,Beethoven Villas,307 E San Antonio St,,Fredericksburg,Texas,78624,United States,30.270818,-98.869207,,0,(210) 764-3707,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 8kW.Available for customers. Please call ahead.",,Operational,10/12/2019 5:45,10/12/2019 5:45
133045,6503D17A-C2A2-48E9-9889-407F36756240,Matouk Factory Store,925 Airport RD,,Fall River,Massachusetts,2720,United States,41.746309,-71.110509,,0,(508) 742-1500,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 16kW.Available to the public. Self park.",,Operational,10/12/2019 5:45,10/12/2019 5:45
133029,80F65210-DA22-437D-A886-266F7C957979,Kitty Knight,14028 Augustine Herman Hwy,,Georgetown,Maryland,21930,United States,39.36095,-75.880319,,0,(410) 648-5200,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 16kW.Available for customers. Self park.",,Operational,10/12/2019 5:43,10/12/2019 5:43
133031,A179A2D2-67DF-4897-90FE-D4422BEF5904,Simpson Center,1490 Oneida St,,Menasha,Wisconsin,54115,United States,44.22927,-88.404479,,0,(920) 362-2725,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 10kW.Available to the public. Self park.",,Operational,10/12/2019 5:43,10/12/2019 5:43
133033,04C9FB2B-5081-415F-A547-856C4599207B,Omni Bedford Springs Resort & Spa,2138 Business Route 220,,Bedford,Pennsylvania,15522,United States,39.996246,-78.507402,,0,(866) 703-8446,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 14kW.Available to the public. Please see valet.",,Operational,10/12/2019 5:43,10/12/2019 5:43
133034,16E1156F-F3C3-4D57-8807-52E51F22CBC8,Miami University,645 E Withrow St,,Oxford,Ohio,45056,United States,39.511864,-84.732512,,0,(763) 494-8856,,,,,,Tesla (Model S onwards);,,Public,2,"2 Tesla Connectors, up to 10kW.Available to the public. Self park.",,Operational,10/12/2019 5:43,10/12/2019 5:43
133027,59CB9D58-14E0-478A-B45E-C8A38DBF9150,Hilton Charlotte University Place,8629 JM Keynes DR,,Charlotte,North Carolina,28262,United States,35.3083,-80.750663,,0,(704) 547-7444,,,,,,Tesla (Model S onwards);,,Public,6,"6 Tesla Connectors, up to 13kW.Available to the public. Self park.",,Operational,10/12/2019 5:42,10/12/2019 5:42
132969,78BF97D7-875C-4515-9A7C-DDF9C689BED7,Trusted Medical Centers - Mansfield,1710 US 287 Frontage Road,,Mansfield,TX,76063,United States,32.59052604,-97.14054427,,0,817-225-4809,,ERodriguez@TheMansfieldHospital.com,Please check-in with receptionist at the hospital for further explanation of charger location,,,Tesla (Model S onwards);,,Public,1,Please check-in with receptionist at the hospital for further explanation of charger location,,Operational,10/11/2019 7:04,10/10/2019 16:19
132705,CA7C3342-7AC7-45BE-B192-ED26B57D314F,Butler Creek Kroger,"3331, Acworth Due West Road",,Acworth,Cobb County,30101,United States,34.03570416,-84.67591931,,0,,,,,,,J1772;,,Public,2,Free volta charger,,Operational,10/7/2019 8:08,10/5/2019 19:59
132687,3BDE3978-04DE-4B71-919B-75F14DE0D232,"Acworth, Ga Supercharger",3500 Baker Road,,Atlanta,GA,30101,United States,34.075818,-84.652184,,0,,,,,,,Tesla Supercharger;,,Public,12,"Charging12 Superchargers, available 24/7, up to 120kW",,Operational,10/5/2019 5:46,10/5/2019 5:46
132677,7971332E-E519-487C-9D9A-38291E897CC2,"Richmond, Ca Supercharger",2157 Meeker Avenue,,Richmond,CA,94804,United States,37.91989,-122.348601,,0,,,,,,,Tesla Supercharger;,,Public,12,"Charging12 Superchargers, available 24/7, up to 120kW",,Operational,10/5/2019 5:44,10/5/2019 5:44
132666,9F1E62E5-E250-4435-B28D-9A982FA06507,"Austin, TX - Research Boulevard Supercharger",9607 Research Boulevard,,Austin,TX,78759,United States,30.389267,-97.73974,,0,,,,,,,Tesla Supercharger;,,Public,18,"Charging18 Superchargers, available 24/7, up to 72kW",,Operational,10/5/2019 5:42,10/5/2019 5:42
132667,F7A0B309-EAE3-4A18-8AF9-054E6D095ED6,"Newark, Ca Supercharger",3100 Newpark Mall,,Newark,CA,94560,United States,37.525919,-122.006513,,0,,,,,,,Tesla Supercharger;,,Public,16,"Charging16 Superchargers, available 24/7, up to 72kW",,Operational,10/5/2019 5:42,10/5/2019 5:42
132670,96B245B5-0493-41E3-A0D2-7DAF17873FC2,"Rancho Mirage, Ca Supercharger",71800 Ca-111,,Rancho Mirage,CA,92270,United States,33.741478,-116.409777,,0,,,,,,,Tesla Supercharger;,,Public,24,"Charging24 Superchargers, available 24/7, up to 72kW",,Operational,10/5/2019 5:42,10/5/2019 5:42
132661,5D158369-1A2A-4CB1-9D6D-5A70C2E7B1B9,"Incline Village, NV Supercharger",930 Tahoe Boulevard,,Incline Village,NV,89451,United States,39.250792,-119.948953,,0,,,,,,,Tesla Supercharger;,,Public,10,"Charging10 Superchargers, available 24/7, up to 120kW",,Operational,10/5/2019 5:41,10/5/2019 5:41
